Code,name,population,province,riding_id
35075,Ottawa Centre,"113,619",ON,26
35076,OrlÄans*,"119,247",ON,27
35077,Ottawa South,"121,894",ON,27
35078,Ottawa_Vanier,"110,999",ON,27
35079,Ottawa West_Nepean,"111,881",ON,27
35080,Oxford,"108,656",ON,27
35081,Parkdale_High Park,"105,103",ON,27
35082,Parry Sound_Muskoka,"91,263",ON,27
35083,Perth_Wellington,"104,912",ON,28
35084,Peterborough_Kawartha*,"115,269",ON,28
35085,Pickering_Uxbridge,"109,344",ON,28
35086,Renfrew_Nipissing_Pembroke,"102,537",ON,28
35087,Richmond Hill,"108,658",ON,28
35088,Carleton*,"89,522",ON,28
35089,St. Catharines,"110,596",ON,28
35090,Toronto_St. Paul's*,"103,983",ON,29
35091,Sarnia_Lambton,"106,293",ON,29
35092,Sault Ste. Marie,"82,052",ON,29
35093,Scarborough_Agincourt,"104,499",ON,29
35094,Scarborough Centre,"108,826",ON,29
35095,Scarborough_Guildwood,"101,914",ON,29
35096,Scarborough North,"101,080",ON,29
35097,Scarborough_Rouge Park,"102,646",ON,30
35098,Scarborough Southwest,"106,733",ON,30
35099,Simcoe_Grey,"116,307",ON,30
35100,Simcoe North,"108,672",ON,30
35101,Spadina_Fort York,"82,480",ON,30
35102,Stormont_Dundas_South Glengarry,"100,913",ON,30
35103,Sudbury,"92,048",ON,30
35104,Thornhill,"110,427",ON,30
35105,Thunder Bay_Rainy River,"82,984",ON,30
35106,Thunder Bay_Superior North,"82,827",ON,30
35107,Timmins_James Bay,"83,104",ON,30
35108,Toronto Centre,"93,971",ON,31
35109,Toronto_Danforth,"104,017",ON,31
35110,University_Rosedale,"98,605",ON,31
35111,Vaughan_Woodbridge,"105,450",ON,31
35112,Waterloo,"103,192",ON,31
35113,Wellington_Halton Hills,"115,880",ON,31
35114,Whitby,"122,022",ON,31
35115,Willowdale,"109,680",ON,32
35116,Windsor_Tecumseh,"115,528",ON,32
35117,Windsor West,"118,973",ON,32
35118,York Centre,"100,277",ON,32
35119,York_Simcoe,"94,616",ON,32
35120,York South_Weston,"116,606",ON,32
35121,Humber River_Black Creek*,"108,198",ON,32
46001,Brandon_Souris,"83,814",MB,33
46002,Charleswood_St. James_Assiniboia_Headingley,"81,864",MB,33
46003,Churchill_Keewatinook Aski,"85,148",MB,33
46004,Dauphin_Swan River_Neepawa,"87,374",MB,33
46005,Elmwood_Transcona,"85,906",MB,33
46006,Kildonan_St. Paul,"81,794",MB,33
46007,Portage_Lisgar,"91,019",MB,33
46008,Provencher,"88,640",MB,33
46009,Saint Boniface_Saint Vital,"84,353",MB,34
46010,Selkirk_Interlake_Eastman,"91,463",MB,34
46011,Winnipeg Centre,"82,026",MB,34
46012,Winnipeg North,"88,616",MB,34
46013,Winnipeg South,"85,540",MB,34
46014,Winnipeg South Centre,"90,711",MB,34
47001,Battlefords_Lloydminster,"70,034",SK,34
47002,Cypress Hills_Grasslands,"67,834",SK,35
47003,DesnethÄ_Missinippi_Churchill River,"69,471",SK,35
47004,Carlton Trail_Eagle Creek*,"72,607",SK,35
47005,Moose Jaw_Lake Centre_Lanigan,"76,106",SK,35
47006,Prince Albertù,"79,344",SK,35
47007,Regina_Lewvan,"79,587",SK,35
47008,Regina_Qu'Appelleù,"72,891",SK,35
47009,Regina_Wascanaù,"77,208",SK,36
47010,Saskatoon_Grasswood,"72,010",SK,36
47011,Saskatoon_University,"76,257",SK,36
47012,Saskatoon West,"76,704",SK,36
47013,Souris_Moose Mountainù,"72,058",SK,36
47014,Yorkton_Melvilleù,"71,270",SK,36
48001,Banff_Airdrie,"105,442",AB,36
48002,Battle River_Crowfoot,"107,140",AB,36
48003,Bow River,"103,871",AB,37
48004,Calgary Centre,"108,931",AB,37
48005,Calgary Confederation,"111,785",AB,37
48006,Calgary Forest Lawn,"108,251",AB,37
48007,Calgary Heritage,"108,320",AB,37
48008,Calgary Midnapore,"111,227",AB,37
48009,Calgary Nose Hill,"109,286",AB,37
48010,Calgary Rocky Ridge,"108,901",AB,38
48011,Calgary Shepard,"110,296",AB,38
48012,Calgary Signal Hill,"109,647",AB,38
48013,Calgary Skyview,"110,189",AB,38
48014,Edmonton Centre,"106,121",AB,38
48015,Edmonton Griesbach,"107,809",AB,38
48016,Edmonton Manning,"106,262",AB,38
48017,Edmonton Mill Woods,"106,103",AB,39
48018,Edmonton Riverbend,"106,302",AB,39
48019,Edmonton Strathcona,"103,183",AB,39
48020,Edmonton West,"104,422",AB,39
48021,Edmonton_Wetaskiwin,"110,644",AB,39
48022,Foothills,"105,515",AB,39
48023,Fort McMurray_Cold Lake,"101,538",AB,39
48024,Grande Prairie_Mackenzie*,"106,738",AB,40
48025,Lakeland,"104,616",AB,40
48026,Lethbridge,"105,999",AB,40
48027,Medicine Hat_Cardston_Warner*,"102,847",AB,40
48028,Peace River_Westlock,"108,095",AB,40
48029,Red Deer_Mountain View,"110,793",AB,40
48030,Red Deer_Lacombe*,"113,693",AB,40
48031,St. Albert_Edmonton,"105,162",AB,41
48032,Sherwood Park_Fort Saskatchewan,"111,541",AB,41
48033,Sturgeon River_Parkland*,"105,733",AB,41
48034,Yellowhead,"98,855",AB,41
59001,Abbotsford,"96,819",BC,41
59002,Burnaby North_Seymour,"100,632",BC,41
59003,Burnaby South,"105,037",BC,41
59004,Cariboo_Prince George,"108,252",BC,42
59005,Central Okanagan_Similkameen_Nicola,"104,398",BC,42
59006,Chilliwack_Hope,"92,734",BC,42
59007,Cloverdale_Langley City,"100,318",BC,42
59008,Coquitlam_Port Coquitlam,"110,277",BC,42
59009,Courtenay_Alberni,"110,391",BC,42
59010,Cowichan_Malahat_Langford,"99,160",BC,42
59011,Delta,"100,588",BC,43
59012,Fleetwood_Port Kells,"109,742",BC,43
59013,Kamloops_Thompson_Cariboo,"118,618",BC,43
59014,Kelowna_Lake Country,"110,051",BC,43
59015,Kootenay_Columbia,"107,589",BC,43
59016,Langley_Aldergrove,"103,084",BC,43
59017,Mission_Matsqui_Fraser Canyon,"90,871",BC,43
59018,Nanaimo_Ladysmith,"114,998",BC,44
59019,New Westminster_Burnaby,"108,652",BC,44
59020,North Okanagan_Shuswap,"121,474",BC,44
59021,North Vancouver,"109,639",BC,44
59022,Pitt Meadows_Maple Ridge,"94,111",BC,44
59023,Port Moody_Coquitlam,"108,326",BC,44
59024,Prince George_Peace River_Northern Rockies,"107,382",BC,44
59025,Richmond Centre,"93,863",BC,45
59026,Esquimalt_Saanich_Sooke*,"113,004",BC,45
59027,Saanich_Gulf Islands,"104,285",BC,45
59028,Skeena_Bulkley Valley,"90,586",BC,45
59029,South Okanagan_West Kootenay,"112,096",BC,45
59030,South Surrey_White Rock,"94,678",BC,45
59031,Steveston_Richmond East,"96,610",BC,45
59032,Surrey Centre,"111,486",BC,46
59033,Surrey_Newton,"105,183",BC,46
59034,Vancouver Centre,"102,480",BC,46
59035,Vancouver East,"110,097",BC,46
59036,Vancouver Granville,"99,886",BC,46
59037,North Island_Powell River*,"103,458",BC,46
59038,Vancouver Kingsway,"102,003",BC,46
59039,Vancouver Quadra,"102,416",BC,47
59040,Vancouver South,"100,966",BC,47
59041,Victoria,"110,942",BC,47
59042,West Vancouver_Sunshine Coast_Sea to Sky Country,"112,875",BC,47
60001,Yukon,"33,897",YT,47
61001,Northwest Territories*,"41,462",NT,47
62001,Nunavut,31,NU,47
